Title,Text,Summary
Report on political donations shows AIADMK mum on details,"CHENNAI: Contrasting details on donations from various sources have been submitted by the DMK and the AIADMK, as per the reports presented by the parties to the Election Commission for the year 2018-19. This was revealed as part of the findings of an analysis by Association of Democratic Reforms (ADR) on donations received by regional parties in the country.

Since it was the Lok Sabha election year, parties received large amount of donations in cash, cheques and online transfers. As per the report, among the regional parties in Tamil Nadu, PMK received the maximum donation of Rs 4.19 crore followed by the DMK with Rs 3.5 crore, but the AIADMK has not been forthcoming about any details of donations received. AIADMK official spokesman M Kovai Satyan said, “We are not aware about the accounts submitted to Election Commission. Our coordinator O Panneerselvam, who is also the party's treasurer, or co-coordinator Edappadi K Palaniswami will be able to give the reason why no donation details have been mentioned.”

Among the 25 regional parties, PMK recorded the maximum growth, with an increase of 9,106% compared to previous year. The contribution of Rs 1 crore from Sam Paul Education Trust was the largest donation the party, as per the report.

Of the total donations of Rs 230.45 crore declared by the regional parties, Rs 3.2 crore was received from 450 donors in cash and formed 1.39% of the total donations to the parties. “Maximum donations in cash was declared by the DMK, which collected Rs 2.98 crore, followed by the PMK with Rs 10.6 lakh, NPF with Rs 7.90 lakh, and RLD with Rs 3 lakh and DMDK with Rs 1 lakh,” said the report.

Donors from Tamil Nadu made the highest donations in cash of Rs1.58 crore, followed by donors from Uttar Pradesh who recorded Rs3 lakh in cash.

Two regional parties (NPF and DMK) have received cash donations worth a total of Rs 1.59 crore that do not have address details.

A deeper look into the details of the donations revealed that 16 parties declared receiving 728 donations worth Rs 40.42 crore without PAN details. For a large number of donations, regional parties have mentioned ‘online/RTGS/cheque number’ as mode of contribution without providing any further information on bank details.

“National and regional parties should, ideally, lead by example by filing complete and correct statements of donations to the ECI well in time for public scrutiny so as to encourage financial transparency,” said ADR founder Jagdeep Chokkar. The ECI must publicise on its website details of the action taken (if any) against political parties that fail to provide required details (such as name and address) of individuals, companies or entities making donations in cash, he said.

","This was revealed as part of the findings of an analysis by Association of Democratic Reforms (ADR) on donations received by regional parties in the country.
Since it was the Lok Sabha election year, parties received large amount of donations in cash, cheques and online transfers.
Two regional parties (NPF and DMK) have received cash donations worth a total of Rs 1.59 crore that do not have address details.
A deeper look into the details of the donations revealed that 16 parties declared receiving 728 donations worth Rs 40.42 crore without PAN details.
For a large number of donations, regional parties have mentioned ‘online/RTGS/cheque number’ as mode of contribution without providing any further information on bank details."
Rajiv convicts release: TN governor to take call based on MDMA probe,"Banwarilal Purohit

CHENNAI: Tamil Nadu Governor Banwarilal Purohit would decide on the Tamil Nadu cabinet's recommendation to release the seven life convicts in the Rajiv Gandhi assassination case based on the outcome of a probe by the CBI's multi-disciplinary monitoring agency (MDMA) into the conspiracy angle.

Citing the correspondence between the state home secretary and Purohit's secretary, state minister for law, courts and prisons C Ve Shanmugam on Thursday told the assembly, ""The governor will decide on the TN cabinet's recommendation to release the seven life convicts, based on the report of the MDMA probe into the conspiracy angle in the assassination (of the former PM)"".

The minister said, ""Everyone wants them to be freed as they were incarcerated for 28 years. But, there is no time frame for the governor to take a call on it.""

","Banwarilal PurohitCHENNAI: Tamil Nadu Governor Banwarilal Purohit would decide on the Tamil Nadu cabinet's recommendation to release the seven life convicts in the Rajiv Gandhi assassination case based on the outcome of a probe by the CBI's multi-disciplinary monitoring agency (MDMA) into the conspiracy angle.
Citing the correspondence between the state home secretary and Purohit's secretary, state minister for law, courts and prisons C Ve Shanmugam on Thursday told the assembly, ""The governor will decide on the TN cabinet's recommendation to release the seven life convicts, based on the report of the MDMA probe into the conspiracy angle in the assassination (of the former PM)"".
The minister said, ""Everyone wants them to be freed as they were incarcerated for 28 years.
But, there is no time frame for the governor to take a call on it."""
DMK's RS Bharathi moves Madras high court to quash SC/ST case,"RS Bharathi

CHENNAI: Facing a criminal case under the Scheduled Caste and Scheduled Tribes (Prevention of atrocities) Act, DMK organising secretary R S Bharathi has approached the Madras to quash the FIR.

The FIR was registered for his reported remarks against members of the SC,ST communities, during a speech at a meeting organised by Kalaignar Reading Circle on February 20.

Now, claiming that the complaint was given against him by selectively extracting few lines from the speech, Bharathi contended that only misleading picture of the speech had been highlighted, eliminating the context behind his words.

On Friday, petitioner's counsel R Neelakandan made an urgent mention before Justice N Sathish Kumar seeking an urgent hearing of the plea. To this, the judge said he would take up the plea for hearing on March 24.

According to the petitioner, it is always the sound practice of the courts to read any speech in full and gather the intent of the speaker from the expressions used in the speech as a whole.

""The FIR picks a few words here and there and assigns motives to stray sentences. Police ought to have perused the whole speech without relying on the misleading extracts furnished by the complainant,"" he said.

""The complaint must show prima facie that commission of cognizable offence has occurred and without perusal of the entire speech, police has registered the FIR without coming to such prima facie conclusion about commission of the offence,"" Neelakandan said.

The petitioner may have used infelicitous language or even language that caused offence to some members of the public but in the absence of the specific intent mentioned in the statute, the speech of the petitioner, howsoever disagreeable, cannot be a ground for registration of FIR, he added.

","RS BharathiCHENNAI: Facing a criminal case under the Scheduled Caste and Scheduled Tribes (Prevention of atrocities) Act, DMK organising secretary R S Bharathi has approached the Madras to quash the FIR.
The FIR was registered for his reported remarks against members of the SC,ST communities, during a speech at a meeting organised by Kalaignar Reading Circle on February 20.
On Friday, petitioner's counsel R Neelakandan made an urgent mention before Justice N Sathish Kumar seeking an urgent hearing of the plea.
""The FIR picks a few words here and there and assigns motives to stray sentences.
Police ought to have perused the whole speech without relying on the misleading extracts furnished by the complainant,"" he said."
Saga of Congress leaders' arrests continues in Telangana,"Top Congress leaders were taken into police custody or placed under house arrest at various places in Telangan... Read More

HYDERABAD: The saga of arrests of the Congress leaders continued as senior members of the party were taken into police custody or placed under house arrest at various places in Telangana ahead of their visit to the pending irrigation project on Godavari river on Saturday.

AICC secretaries V Hanumanth Rao, S A Sampath Kumar, TPCC working presidents Ponnam Prabhakar and J Vasanth Kumar, CLP leader Bhatti Vikramarka, MLA D Anasuya (Sitakka), former minister Mohd Ali Shabbir were a few arrested. Police started placing many of the Congress members under house arrest since Friday midnight itself.

These arrests came a day after Telangana Pradesh Congress Committee president and Nalgonda MP N Uttam Kumar shot off a letter to director general of police mahender reddy to stop harassing the Congress members and allow them to visit irrigation project sites. He also sought to assure the DGP that Congress members would follow physical distance and mask norms.

“We were arrested on June 2 ahead of our protest programme at irrigation project sites on Krishna river, Later, on June 11, we were arrested after giving a call for Chalo Secretariat. The police are not taking action against chief minister K Chandrasekhar Rao, his ministers and TRS leaders who are freely moving and participating even in congregations in violation of physical distance and mask norms. This is a murder of democracy,” said TPCC president N Uttam Kumar Reddy while registering a strong protest against dictatorial rule of KCR-led TRS government.

AICC secretary V Hanumanth Rao said CM KCR is worried that the failures of his government would be exposed if Congress members are allowed to visit the pending irrigation project sites and protest. “The ruling TRS is not leaving any option for us except going to the Court to get permission to hold a protest. The KCR government is unleashing the police force to crush any voice of dissent against the TRS government,” he said.

Several Congress leaders squatted on the road and in front of police stations insisting that they be allowed to go to the project sites on Godavari river. However, the police took them to police stations where the Congress members continued their protest.

Referring to chief minister K Chandrasekhar Rao's surprise inspection visit to Kondapochamma Sagar project on Friday evening, TPCC president N Uttam Kumar Reddy said whie KCR himself goes to irrigation project sites when ever he wants, the Congress members are now allowed despite informing the police about the programme in advance. ""Telangana police is repeatedly violating the privileges of Congress MPs, MLAs and MLCs and warned that they would take up the issue with the presiding officer of the parliament, council and assembly,"" Uttam said.

","Police started placing many of the Congress members under house arrest since Friday midnight itself.
These arrests came a day after Telangana Pradesh Congress Committee president and Nalgonda MP N Uttam Kumar shot off a letter to director general of police mahender reddy to stop harassing the Congress members and allow them to visit irrigation project sites.
He also sought to assure the DGP that Congress members would follow physical distance and mask norms.
Several Congress leaders squatted on the road and in front of police stations insisting that they be allowed to go to the project sites on Godavari river.
However, the police took them to police stations where the Congress members continued their protest."
Congress stands good chance of second term: Punjab CM Amarinder Singh,"This story is from March 18, 2020

Amarinder Singh

CHANDIGARH: Punjab chief minister Amarinder Singh on Tuesday said the Congress stood a good chance of returning to power for a second term in Punjab in the absence of a strong opposition and, by doing so, taking the state's progress to the next level.

During an interaction at a conclave to mark the completion of three years of his government, Capt Amarinder said the Shiromani Akali Dal (SAD) had lost ground, while the Aam Aadmi Party (AAP) was in disarray in the state. ""The Akalis do not even have leadership at the moment, as the Badals have never allowed strong leadership to emerge. As for AAP, there was a lot of hype even during the 2017 polls, but it failed to translate it into a victory,"" he said.

If the Congress returns to power, he said, the next seven years will see Punjab being restored to its previous glory of being India's No. 1 state.

Amarinder reiterated he was geared up to contest the next assembly elections. ""I had thought that five years would be enough to revive the state's fortunes, but the situation had been so bad that the government needs more time,"" he said. While finances had improved, the state government was still going through a financial crunch and needed to spend judiciously said Amarinder.

","This story is from March 18, 2020Amarinder SinghCHANDIGARH: Punjab chief minister Amarinder Singh on Tuesday said the Congress stood a good chance of returning to power for a second term in Punjab in the absence of a strong opposition and, by doing so, taking the state's progress to the next level.
""The Akalis do not even have leadership at the moment, as the Badals have never allowed strong leadership to emerge.
As for AAP, there was a lot of hype even during the 2017 polls, but it failed to translate it into a victory,"" he said.
If the Congress returns to power, he said, the next seven years will see Punjab being restored to its previous glory of being India's No.
While finances had improved, the state government was still going through a financial crunch and needed to spend judiciously said Amarinder."
Residents slam corporation for political posts on social media,"Trichy: The social media accounts of Trichy Corporation, which were revived recently after a two-month lull, have been criticised by residents for not sharing awareness messages and statistics on Covid-19 as done by other civic bodies. The corporation had shared a video of a state minister distributing welfare kits on Facebook and Twitter, which did not go well with the public. They wanted the civic body to be responsible in sharing Covid-19 updates.Residents were demanding that the social media handles are activated so that live updates about containment zones will be known to the public. On May 6, the civic body reactivated the accounts.

Immediately, a video of Trichy East MLA and tourism minister Vellamandi Natarajan distributing welfare aid to people was shared. This attracted backlash from the public with many criticising the corporation for sharing political posts.

“It is unprofessional for a civic body to share such videos. It can share info on Covid-19 hotspots and preventive measures taken,” I Prasanna, a resident of Subramaniapuram said.

While many corporation staff are unaware of the official social media handles, officials assured that information will be shared.

","Trichy: The social media accounts of Trichy Corporation, which were revived recently after a two-month lull, have been criticised by residents for not sharing awareness messages and statistics on Covid-19 as done by other civic bodies.
On May 6, the civic body reactivated the accounts.
This attracted backlash from the public with many criticising the corporation for sharing political posts.
“It is unprofessional for a civic body to share such videos.
While many corporation staff are unaware of the official social media handles, officials assured that information will be shared."
Punjab: Sacrilege cases in legal tangle as government fights CBI over probe,"A 2019 protest for action in the cases

Probe status

Police firing cases

CHANDIGARH: One of the main reasons for the SAD-BJP government tasting its worst-ever defeat in the 2017 Punjab assembly polls was sacrilege incidents and police firing at Sikh protesters. People elected the Congress as it promised to deliver justice in these infamous incidents of desecration of Guru Granth Sahib and subsequent police firing incidents of October 2015 in Faridkot district which led to the death of two Sikh protesters.As the Congress completes three years in power, people’s anger against the SAD-BJP alliance is turning towards the incumbent party as they still await justice. This despite the fact that Congress made sacrilege and police firing cases at Kotkapura and Behbal Kalan major poll planks in the 2019 Lok Sabha polls too.Then Congress national president Rahul Gandhi even addressed a rally at Bargari, the epicentre of sacrilege protests. Even chief minister Amarinder Singh announced in that rally to build a memorial for those killed and injured in the firing. The memorial is yet to see the light of day.SAD is now trying to turn the tables on Congress for not bringing perpetrators to book, and incumbent party MLAs have also started questioning the government. Congress Jalandhar Cantt MLA Pargat Singh took on his own government during the recent budget session of the assembly, saying party functionaries felt embarrassed when people asked them why their government had not been able to ensure trial in the five-year-old cases.An FIR was registered on June 2, 2015, for the theft of Guru Granth Sahib from Burj Jawahar Singh Wala gudwara, second FIR was registered on September 25, 2015, for handwritten posters and the third on October 12, 2015, over torn pages of Guru Granth Sahib being found in Bargari village. These FIRs, registered at Bajakhana police station, were initially handed over to CBI by the previous SAD-BJP government in November 2015.In April 2017, the Congress government formed Justice Ranjit Singh inquiry commission to probe the incidents. Later, after a resolution passed by the state assembly, the Punjab government issued a notification on September 6, 2018, withdrawing the probe from CBI.But, CBI continued with the probe and filed a closure report in the special CBI court in Mohali on July 4, 2019. The Punjab and Haryana high court upheld the state’s right to take the probe back. Even Supreme Court (SC), on February 20, rejected CBI’s plea and allowed Punjab Police SIT to probe sacrilege cases too. Earlier this month, CBI informed the Mohali trial court it was going to seek a review of SC’s decision.Police had on October 14, 2015, opened fire on protesters at Behbal Kalan, in which two Sikh men — Sarawan village’s Gurjit Singh and Niamia Wala village’s Krishan Bhagwan Singh — died. Police also fired in Kotkapura, injuring many protesters. Both cases are pending before the Faridkot district and sessions court for framing of charges.Punjab Police SIT headed by special DGP Prabodh Kumar (bureau of investigation director) has presented one challan in the Behbal Kalan case in the Faridkot district court. It would present another challan in this case. It has presented three challans in trial court in the Kotkapura case and would present one more soon.","A 2019 protest for action in the casesProbe statusPolice firing casesCHANDIGARH: One of the main reasons for the SAD-BJP government tasting its worst-ever defeat in the 2017 Punjab assembly polls was sacrilege incidents and police firing at Sikh protesters.
Even chief minister Amarinder Singh announced in that rally to build a memorial for those killed and injured in the firing.
Later, after a resolution passed by the state assembly, the Punjab government issued a notification on September 6, 2018, withdrawing the probe from CBI.But, CBI continued with the probe and filed a closure report in the special CBI court in Mohali on July 4, 2019.
The Punjab and Haryana high court upheld the state’s right to take the probe back.
Even Supreme Court (SC), on February 20, rejected CBI’s plea and allowed Punjab Police SIT to probe sacrilege cases too."
Political murder convict jumps parole,"Kannur: Koothuparamba police have strengthened probe after a convicted prisoner in a murder case went absconding after jumping parole. Police started the investigation after CPM worker Anneri Vipin (35), who along with his father and eight others was awarded life imprisonment in the murder of BJP worker K Pramod in August 2007, failed to report at the central prison here on the completion of his parole on March 16.

According to police, the probe was initiated after his wife Shruthilaya complained that Vipin left home on March 16 and his whereabouts are not known. Though the family thought he had gone back to jail on completion of parole, later, they came to know that he did not reach the jail. The prison authorities then filed a police complaint.

Police sources said that Vipin had apparently taken up some quarrel with his wife, who is working as a nurse abroad and then left home. Though his whereabouts are unknown, the indication is that he left for Mumbai or nearby area. His mobile phone has been switched off since.

On April 4, 2018, the Thalassery additional sessions court awarded life imprisonment to Vipin, his father Anneri Pavithran and eight others in the murder case. After he was awarded jail term, Vipin went on parole within one year and got married. He had availed around 200 days of parole using various means after he was imprisoned, said officials.

Jail authorities said since it is a parole break case, a warrant would be issued. They would also alert police in other states where he is likely to go.

","Kannur: Koothuparamba police have strengthened probe after a convicted prisoner in a murder case went absconding after jumping parole.
According to police, the probe was initiated after his wife Shruthilaya complained that Vipin left home on March 16 and his whereabouts are not known.
On April 4, 2018, the Thalassery additional sessions court awarded life imprisonment to Vipin, his father Anneri Pavithran and eight others in the murder case.
After he was awarded jail term, Vipin went on parole within one year and got married.
Jail authorities said since it is a parole break case, a warrant would be issued."
"‘Punjab government to hire 1 lakh employees in two years, reach 20 lakh aim by 2022’","This story is from March 17, 2020

Amarinder Singh

CHANDIGARH: Punjab chief minister Amarinder Singh on Monday announced the decision to recruit one lakh youths in various state departments over the next two years.

“Our biggest problem in the state today is unemployment. We have launched ‘Ghar Ghar Rozgar’ schemes in the state and we have one lakh jobs in the government sector that are lying vacant. For the youth of the state, we will provide one lakh government jobs over the next two years. The aim was to achieve the target of 20 lakh total employment by 2022,” he said.

The chief minister added, “These jobs will be filled up through a transparent and merit-based system of selection. The jobs will be offered in several government departments, including health, education and police.”

“We aim to cross the target of 20-lakh employment facilitations by 2022, of which we have already achieved 12.17 lakh jobs,” he said, adding, “a young woman recently got package of Rs 42 lakh that is a considerable amount for someone starting his or her career.”

The state sgovernment has recently announced its decision to reduce retirement of state employees from 60 to 58 years, claiming that it could afford to do that since the financial health of Punjab had improved. However, he termed the takeover of Rs 31,000 crore in food account as debt by the previous government a cruel joke on the people.

","This story is from March 17, 2020Amarinder SinghCHANDIGARH: Punjab chief minister Amarinder Singh on Monday announced the decision to recruit one lakh youths in various state departments over the next two years.
We have launched ‘Ghar Ghar Rozgar’ schemes in the state and we have one lakh jobs in the government sector that are lying vacant.
For the youth of the state, we will provide one lakh government jobs over the next two years.
The aim was to achieve the target of 20 lakh total employment by 2022,” he said.
The chief minister added, “These jobs will be filled up through a transparent and merit-based system of selection."
Punjab CM reiterates promise on sacrilege incidents,"This story is from March 17, 2020

Amarinder Singh

CHANDIGARH: Punjab chief minister Capt Amarinder Singh on Monday reiterated his commitment to ensure punishment for the guilty in Bargari case.

Delving into the achievements of the Congress government over the last three years, Amarinder said, “Let me reiterate that all those persons, whether big or small, who are guilty of ordering firing on innocent persons protesting the sacrilege of Guru Granth Sahib will be brought to book. Also, those responsible cannot escape the punishment that they deserve,” he said.

Punjab Congress chief Sunil Jakhar said Amarinder, who had an overwhelming majority, could have acted against the accused in sacrilege cases instantly to score political brownie points, but followed the rule of the law.

Justice in sacrilege and police firing cases of 2015 was a major promise of the Congress before it came to power in the state in 2017.

","This story is from March 17, 2020Amarinder SinghCHANDIGARH: Punjab chief minister Capt Amarinder Singh on Monday reiterated his commitment to ensure punishment for the guilty in Bargari case.
Delving into the achievements of the Congress government over the last three years, Amarinder said, “Let me reiterate that all those persons, whether big or small, who are guilty of ordering firing on innocent persons protesting the sacrilege of Guru Granth Sahib will be brought to book.
Also, those responsible cannot escape the punishment that they deserve,” he said.
Punjab Congress chief Sunil Jakhar said Amarinder, who had an overwhelming majority, could have acted against the accused in sacrilege cases instantly to score political brownie points, but followed the rule of the law.
Justice in sacrilege and police firing cases of 2015 was a major promise of the Congress before it came to power in the state in 2017."
Rajinikanth: K Kamaraj look-alikes for Rajinikanth's campaign,"This story is from March 16, 2020

Rajinikanth

CHENNAI: 'Tandoras' (tomtoms), LED screen-fitted vehicles and artists dressed like former Congress leader and chief minister K Kamaraj will help take forward actor Rajinikanth 's call for political resurgence in Tamil Nadu as functionaries of his Makkalm Mandram spearhead the campaign for 'TN political change - Now or Never'.

RMM functionaries in Krishnagiri, Vellore and neighbouring districts are preparing to launch the campaign to popuralise the actor's ideas to bring about 'a political and regime change'.

Rajinikanth, while addressing journalists last Thursday, made a dramatic disclosure about his reluctance to aspire for the chief minister's post and instead proposed three strategies to bring about change in the political system and governance to ensure a corruption-free government.

The RMM functionaries are planning different kinds of campaigns, from 'Thinnai Pracharam' (one-on-one interactions at people's doorstep) to social media, to cobble together support for the actor's policies. RMM's booth-level committees are expected to play a key role in the campaign.

Rajinikanth's fans have been disheartened about his unwillingness to be in the CM race, but his ""selfless political policies"" were well received, RMM's Vellore integrated district secretary Sholinghur N Ravi told TOI. ""We are planning to use LED fitted vehicles to play our Thalaivar's speech in public places. We will work hard for a political resurgence. The campaign will continue for more than a month,"" he said. The RMM cadres have readied five LED screen-fitted vehicles, besides more than 50,000 pamphlets to distribute to the public. They would meet people at the weekly village shandies, worship and other public places.

RMM functionaries in other districts have launched similar innovative campaigns to reach out to people. While the Trichy unit of the mandram is planning to take up 'Thinnai Pracharam', the Madurai unit is all set for a 'tandora' (tomtom) campaign with artists dressed like former chief minister K Kamaraj. Several fans along with their family members have been meeting people in their vicinity and travelling in buses to spread Rajinikanth's message. ""We will focus on lower economic group and women, in particular, to garner support,"" said Trichy RMM executive committee member Palakkarai K Sakthithivel. He added that they would carry out the campaign as a prelude to the forthcoming election campaigns. RMM Krishnagiri district secretary K V S Srinivasan said the actor's speech will be played in every nook and cranny of the district to drum up support.

The RMM's Chennai North wing would begin the campaign by organising a public meeting at Maha Kavi Bharathi Nagar. ""We will explain the selfless policies of our Thalaivar. At the end of the public meeting, there will be a question and answer session with the public to clear their doubts,"" said a functionary.

","RMM functionaries in Krishnagiri, Vellore and neighbouring districts are preparing to launch the campaign to popuralise the actor's ideas to bring about 'a political and regime change'.
The RMM functionaries are planning different kinds of campaigns, from 'Thinnai Pracharam' (one-on-one interactions at people's doorstep) to social media, to cobble together support for the actor's policies.
Rajinikanth's fans have been disheartened about his unwillingness to be in the CM race, but his ""selfless political policies"" were well received, RMM's Vellore integrated district secretary Sholinghur N Ravi told TOI.
RMM functionaries in other districts have launched similar innovative campaigns to reach out to people.
The RMM's Chennai North wing would begin the campaign by organising a public meeting at Maha Kavi Bharathi Nagar."
Kamal Nath: Madhya Pradesh CM Kamal Nath calls cabinet meeting in Bhopal,"This story is from March 15, 2020

Kamal Nath

BHOPAL: Madhya Pradesh chief minister Kamal Nath has called a cabinet meeting here on Sunday, in the wake of state governor Lalji Tandon's direction to his government to seek a trust vote in the assembly on Monday.

The meeting is likely to be begin at 11am, sources said.

The cabinet is likely to discuss the governor's letter sent on Saturday night, in which he asked the government to seek a trust vote in the assembly soon after his (governor's) address on March 16, they said.

Meanwhile, the Congress MLAs, who were camping in Jaipur, are likely to return to Bhopal by noon, sources added.

On Saturday, the assembly speaker had accepted the resignations of six ministers, out of the total 22 rebel Congress legislators. With this, the strength of the House has come down to 222, with the majority mark 112.

The resignations of 16 other rebel legislators, who are in Bengaluru, have not been accepted yet.

","This story is from March 15, 2020Kamal NathBHOPAL: Madhya Pradesh chief minister Kamal Nath has called a cabinet meeting here on Sunday, in the wake of state governor Lalji Tandon's direction to his government to seek a trust vote in the assembly on Monday.
The meeting is likely to be begin at 11am, sources said.
Meanwhile, the Congress MLAs, who were camping in Jaipur, are likely to return to Bhopal by noon, sources added.
On Saturday, the assembly speaker had accepted the resignations of six ministers, out of the total 22 rebel Congress legislators.
The resignations of 16 other rebel legislators, who are in Bengaluru, have not been accepted yet."
Tamil Nadu CM Edappadi K Palaniswami accuses DMK chief M K Stalin of fearmongering,"This story is from March 14, 2020

Edappadi K Palaniswami

CHENNAI: Countering the charge that his government was scared of the Centre for not passing a resolution in the state assembly against the updation of national population register, chief minister Edappadi K Palaniswami on Friday said DMK chief M K Stalin with trying to create fear in the minds of people, especially the minorities. The government rejected the demand of the DMK and its allies, Congress and IUML, that a resolution be passed on the announcement made by revenue minister R B Udayakumar at a media interaction on Thursday that the state had put on hold the NPR exercise for seeking clarification from the Centre on three new questions in the form. ""You have been saying that our government is scared of the Centre, as it (cabinet) would land in prison. That would never happen. (Entha kalaathilum athu nadakkave nadakkathu),"" he said, recalling the cases faced by the former DMK ministers. The debate began when DMK leader S Durai Murugan raised the breach of privilege issue against Udayakumar for addressing the media when assembly was in session.

Refuting the charge, Palaniswami said the minister had only reiterated what was said earlier in the assembly. NPR is conducted in accordance with the Citizenship Amendment Act 2003. The amendment was made when the DMK was in power at the Centre (in alliance with the BJP). The state government has sought clarification from the Centre as there were apprehensions among Muslims, he said. ""There were incidents in Delhi and there was trouble. But, Tamil Nadu has remained peaceful and people live in harmony,"" the CM said, urging the opposition to ensure peace in the state. Udayakumar said he spoke to reporters to defuse the tension in the wake of the opposition leader's statements that documents were required for NPR, which was not the case. There was loud thumping of desks in the opposition benches when the DMK chief demanded that the government come forward to pass a resolution on the minister's announcement. Udayakumar demanded to know how a resolution could be passed by the state legislature against a legislation passed by the Parliament. ""Even Union home minister Amit Shah had clarified in Parliament yesterday that there was no need for documents for NPR. We cannot be mere spectators when you cause tension among minorities by making baseless statements,"" the minister said. Durai Murugan demanded to know why the minister did not make the statement about NPR being put on hold on the floor of assembly.

","""You have been saying that our government is scared of the Centre, as it (cabinet) would land in prison.
Refuting the charge, Palaniswami said the minister had only reiterated what was said earlier in the assembly.
The amendment was made when the DMK was in power at the Centre (in alliance with the BJP).
But, Tamil Nadu has remained peaceful and people live in harmony,"" the CM said, urging the opposition to ensure peace in the state.
Udayakumar demanded to know how a resolution could be passed by the state legislature against a legislation passed by the Parliament."
All 5 Rajya Sabha candidates from Bihar set to get elected unopposed,"This story is from March 14, 2020

Nitish Kumar with Harivansh Narayan Singh (second from right), Ramnath Thakur (left) and Vivek Thakur (right) ... Read More

PATNA: All three NDA candidates for Rajya Sabha, including deputy chairman of the Upper House of Parliament Harivansh Narayan Singh, filed their nomination papers in the state assembly on Friday.

Senior NDA functionaries, including CM Nitish Kumar, deputy CM Sushil Kumar Modi, JD(U) state president Bashishtha Narayan Singh and state BJP president Dr Sanjay Kumar Jaiswal, accompanied them in the chamber of the state assembly secretary Bateshwar Nath Pandey.

While Harivansh is the nominee of the JD(U), the two other NDA candidates are Ram Nath Thakur from the JD(U) and Vivek Thakur from the BJP. Several senior ministers, including Bijendra Prasad Yadav, Shrawan Kumar, Nand Kishore Yadav and Mangal Pandey were also present on the occasion.

With two RJD nominees Prem Chand Gupta and Amrendra Dhari Singh having already filed their nomination papers on Thursday, there are altogether five candidates to fill the equal number of seats that would fall vacant next month. Since no sixth candidate is in race, all five candidates looked set to get elected unopposed.

While the scrutiny of papers will be done on Monday, the five candidates would be deemed as elected unopposed on March 18, the last day of withdrawal of nomination papers. Otherwise, the election date was due on March 26.

“I feel grateful to CM Nitish Kumar for selecting a common man and sending him to the Rajya Sabha,” Harivansh said. It would be his second term in the Rajya Sabha.

“The CM has been paying attention to improving the social and economic reality of the dalits, socially backward sections and economically deprived groups. He has become their voice,” Ram Nath said.

Vivek said the BJP has always been a party of committed workers and honoured them. He also thanked the party’s central and state leadership for selecting him for the Rajya Sabha. Later, he was given a rousing welcome at the party’s state headquarters. “The mood of the party workers was upbeat,” state BJP spokesman Nikhil Anand said.

","While Harivansh is the nominee of the JD(U), the two other NDA candidates are Ram Nath Thakur from the JD(U) and Vivek Thakur from the BJP.
Since no sixth candidate is in race, all five candidates looked set to get elected unopposed.
“I feel grateful to CM Nitish Kumar for selecting a common man and sending him to the Rajya Sabha,” Harivansh said.
He also thanked the party’s central and state leadership for selecting him for the Rajya Sabha.
“The mood of the party workers was upbeat,” state BJP spokesman Nikhil Anand said."
Lalu Prasad flayed for denying Rajya Sabha seat to LJD’s Sharad Yadav,"This story is from March 14, 2020

Lalu Prasad

PATNA: While Loktantrik Janta Dal (LJD) chief Sharad Yadav on Friday refused to comment on RJD’s nomination for the Rajya Sabha, his party state vice-president Binu Yadav criticized RJD chief Lalu Prasad for betraying Sharad and even asked people not to vote for the party.

“He (Lalu) had betrayed an old socialist leader. It was Sharad Yadav who had parted ways with JD (U) for the sake of mandate of 11 crore people of Bihar and joined hands with Lalu Prasad. Now when time has come to send him to Rajya Sabha, Lalu sold the ticket to a rich businessman,” said Binu.

Playing the caste card, Binu said that the entire Yadav community had been cheated. “It is now clear that neither the Yadavs nor Muslims are with the RJD. Lalu actually believes in use and throw policy and people need to be cautious. Now, the people of Bihar will decide whether to caste vote in favour of such leaders or not?” Binu said. He further said his party will be contesting on all the 243 seats in the upcoming state assembly election.

Talking to an electronic media channel earlier, Sharad said he will be soon coming to Bihar and hold talks with his alliance partners and discuss the ‘sehat’ (health) of Mahagatbandhan.

Sharad had already said that he was not interested in state politics and will be doing politics from the Centre.

","This story is from March 14, 2020Lalu PrasadPATNA: While Loktantrik Janta Dal (LJD) chief Sharad Yadav on Friday refused to comment on RJD’s nomination for the Rajya Sabha, his party state vice-president Binu Yadav criticized RJD chief Lalu Prasad for betraying Sharad and even asked people not to vote for the party.
It was Sharad Yadav who had parted ways with JD (U) for the sake of mandate of 11 crore people of Bihar and joined hands with Lalu Prasad.
Now when time has come to send him to Rajya Sabha, Lalu sold the ticket to a rich businessman,” said Binu.
Now, the people of Bihar will decide whether to caste vote in favour of such leaders or not?” Binu said.
Sharad had already said that he was not interested in state politics and will be doing politics from the Centre."
